id,name,city,province,lat,lng,has_er,data_source,wait_metric,stat_type
qc_centredesantdechibou,CENTRE DE SANTÉ DE CHIBOUGAMAU,Chibougamau,QC,49.915951,-74.349183,t,qc_quebec,time_to_physician,current_estimate
qc_centredesantetdeserv,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU HAUT-SAINT-MAURICE,La Tuque,QC,47.428451,-72.785692,t,qc_quebec,time_to_physician,current_estimate
qc_centredeservicesambu,CENTRE DE SERVICES AMBULATOIRES DE LÉVIS,Lévis,QC,46.81568,-71.174936,t,qc_quebec,time_to_physician,current_estimate
qc_centredhbergementdel,CENTRE D'HÉBERGEMENT DE L'HÔTEL-DIEU-DE-SAINT-HYACINTHE,Saint-Hyacinthe,QC,45.62572,-72.950032,t,qc_quebec,time_to_physician,current_estimate
qc_centrehospitalierrob,CENTRE HOSPITALIER ROBERT-GIFFARD,Québec City,QC,46.847932,-71.220726,t,qc_quebec,time_to_physician,current_estimate
qc_centremultiservicesd,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MINGANIE,Havre-Saint-Pierre,QC,50.237811,-63.605244,t,qc_quebec,time_to_physician,current_estimate
qc_chusaintejustine,CHU SAINTE-JUSTINE,Montréal,QC,45.503155,-73.624943,t,qc_quebec,time_to_physician,current_estimate
qc_chushpitalfleurimont,CHUS - HÔPITAL FLEURIMONT,Sherbrooke,QC,45.447736,-71.869027,t,qc_quebec,time_to_physician,current_estimate
qc_chushteldieudesherbr,CHUS - HÔTEL-DIEU DE SHERBROOKE,Sherbrooke,QC,45.398442,-71.877948,t,qc_quebec,time_to_physician,current_estimate
qc_clscdepohenegamook,CLSC DE POHENEGAMOOK,Pohénégamook,QC,47.489759,-69.281334,t,qc_quebec,time_to_physician,current_estimate
qc_clscethpitalleroyer,CLSC ET HÔPITAL LE ROYER,Baie-Comeau,QC,49.190176,-68.252525,t,qc_quebec,time_to_physician,current_estimate
qc_groupedemdecinedefam,GROUPE DE MÉDECINE DE FAMILLE UNIVERSITAIRE LAURIER,Québec,QC,46.765936,-71.289344,t,qc_quebec,time_to_physician,current_estimate
qc_hpitalannalaberge,HÔPITAL ANNA-LABERGE,Châteauguay,QC,45.345661,-73.763446,t,qc_quebec,time_to_physician,current_estimate
qc_hpitalbarriemmorial,HÔPITAL BARRIE MÉMORIAL,Ormstown,QC,45.126343,-73.999867,t,qc_quebec,time_to_physician,current_estimate
qc_hpitalbromemissisquo,HÔPITAL BROME-MISSISQUOI-PERKINS,Cowansville,QC,45.207084,-72.714415,t,qc_quebec,time_to_physician,current_estimate
qc_hpitalcharleslemoyne,HÔPITAL CHARLES-LE MOYNE,Longueuil,QC,45.497266,-73.486423,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldalma,HÔPITAL D'ALMA,Alma,QC,48.55062,-71.665075,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldamos,HÔPITAL D'AMOS,Amos,QC,48.574532,-78.125459,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldamqui,HÔPITAL D'AMQUI,Amqui,QC,48.468477,-67.419325,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldechandler,HÔPITAL DE CHANDLER,Chandler,QC,48.354823,-64.67168,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldechicoutimi,HÔPITAL DE CHICOUTIMI,Saguenay,QC,48.425975,-71.048599,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldedolbeaumista,HÔPITAL DE DOLBEAU-MISTASSINI,Dolbeau-Mistassini,QC,48.885835,-72.239367,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldegasp,HÔPITAL DE GASPÉ,Gaspé,QC,48.812942,-64.496646,t,qc_quebec,time_to_physician,current_estimate
